	query	text	user	date	hashtags	likes	retweets	url	score
0	covid	COVID	30be7684-141b-5359-8bf3-7a483e6ca1be	Sat Nov 21 14:52:15 +0000 2020	[]	1311	118	https://twitter.com/i/web/status/1330162112509915140	2.5453011599999997
1	covid	From COVID?	ec560a68-6994-5283-b58a-45e738baaad0	Sat Nov 21 14:53:36 +0000 2020	[]	0	0	https://twitter.com/i/web/status/1330162452491870208	2.5453011599999997
2	covid	Covid or not	2c77833c-b66f-5c08-85f3-f7206d9631a6	Sat Nov 21 14:36:28 +0000 2020	[]	0	1	https://twitter.com/i/web/status/1330158139589713926	2.5453011599999997
3	covid	covid 😊	95cbbdde-72e1-5d73-a781-c7c742b6e0e1	Sat Nov 21 15:22:24 +0000 2020	[]	4424	1074	https://twitter.com/i/web/status/1330169701197111296	2.5453011599999997
4	covid	"??
Covid?"	dee4530d-cf2a-50de-b8dd-d5bfeb72c28f	Sat Nov 21 16:22:34 +0000 2020	[]	9	2	https://twitter.com/i/web/status/1330184841112014848	2.5453011599999997
5	covid	@a681cf9f-b27d-530b-878c-d216518ba80c Covid Covid Covid Covid!	40af6ae1-a0f6-5889-8021-dd8fcbf59324	Sat Nov 21 14:34:14 +0000 2020	[]	0	0	https://twitter.com/i/web/status/1330157579541106689	2.4693048309852133
6	covid	@a681cf9f-b27d-530b-878c-d216518ba80c Covid Covid Covid! https://t.co/4akUhfMFrU	efa59117-f84b-556f-ad67-d2070ba8e073	Sat Nov 21 14:52:32 +0000 2020	[]	0	0	https://twitter.com/i/web/status/1330162183557222402	2.302311525320824
7	covid	"RT @48e28750-430f-5ee1-9177-54639e0f35a4: Trump says about covid: “You turn on CNN, that’s all they cover. ‘Covid, covid, pandemic. Covid, covid, covid.’”

Yes, we…"	58a382ce-2803-554e-83f7-59958173a078	Sat Nov 21 14:30:45 +0000 2020	[]	3010	1357	https://twitter.com/i/web/status/1330156701144801289	2.276586566787627
8	covid	@bbf1f637-6790-5a72-b346-b47d9ac6df58 Died “with Covid” not “from Covid”	f5bd1a6b-02a2-556d-bebb-e654204a3786	Sat Nov 21 15:57:43 +0000 2020	[]	0	0	https://twitter.com/i/web/status/1330178589149564928	2.078229694571375
9	covid	"RT @983740bc-166f-59c8-8415-006fb46494f0: Covid this covid that....
Can we talk about ME now?????"	72d95870-ef1b-53c8-93a1-a95ba950bed7	Sat Nov 21 14:50:11 +0000 2020	[]	0	0	https://twitter.com/i/web/status/1330161590784692237	2.078229694571375
10	covid	RT @a8d42d10-0402-5264-a093-ca27d514c560: is it allergies or is it covid? is it a stress migraine or is it covid? is it anxiety or is it covid?	1ab132c0-8203-5b19-817a-309b03ceca2d	Sat Nov 21 14:32:04 +0000 2020	[]	0	0	https://twitter.com/i/web/status/1330157034428362752	2.040781047188203
11	covid	@56be04af-fc9d-5e59-a3ca-fe67726d0bd7 COVID, COVID, COVID, huh Loser? And it’s November 21	03f32385-0382-5b76-b460-850ab6f81be5	Sat Nov 21 15:12:13 +0000 2020	[]	0	0	https://twitter.com/i/web/status/1330167137793679372	2.040781047188203
12	covid	RT @a8d42d10-0402-5264-a093-ca27d514c560: is it allergies or is it covid? is it a stress migraine or is it covid? is it anxiety or is it covid?	304cc762-378e-5004-a35f-5563f92722cf	Sat Nov 21 15:15:26 +0000 2020	[]	0	0	https://twitter.com/i/web/status/1330167947663446018	2.040781047188203
13	covid	"@3f6a872d-2ae4-5353-a1e6-2af15738df62 @618a9f66-6c76-5418-acd8-7a2548669500 @3ffaf75c-afda-5ca5-89ad-d5df7357ccf2 Didn't he say ""COVID, COVID, COVID, COVID"" would disappear after the e… https://t.co/e20EGtOi1V"	2b9f8e1f-2dde-55aa-a746-af82863c81dd	Sat Nov 21 15:56:42 +0000 2020	[]	0	0	https://twitter.com/i/web/status/1330178330474278920	2.0362409280000002
14	covid	"RT @b6d14bc8-a815-5029-a9ce-0663f2291738: Everyone who cares about Covid needs to read this.

#COVID2ndWaveIsReal #COVID19 #COVID #COVIDIOTS #covid

Covid UK: Fact…"	b6d14bc8-a815-5029-a9ce-0663f2291738	Sat Nov 21 16:09:23 +0000 2020	['COVID2ndWaveIsReal', 'COVID19', 'COVID', 'COVIDIOTS', 'covid']	0	0	https://twitter.com/i/web/status/1330181521702064134	1.9966985050477464
15	covid	@02e6fb19-6e6e-5b3a-977b-14c8000d52d1 He listened to your no mask. Covid is going away mark my words. Covid covid covid it will just go… https://t.co/lYzuwtmxYP	29d05b89-b237-5414-8d70-81b0f5b503d1	Sat Nov 21 15:23:27 +0000 2020	[]	0	0	https://twitter.com/i/web/status/1330169962548387844	1.9593737465262222
16	covid	"“Don’t be afraid of COVID!” 

........gets COVID

........again"	a76c3aac-cbad-5bce-8205-c33e46055f81	Sat Nov 21 14:57:52 +0000 2020	[]	2035	107	https://twitter.com/i/web/status/1330163525445152768	1.924066823178349
17	covid	COVID 20 is more dangerous than COVID 19	513ce28e-e6ca-5f99-963e-068fa08aaa7c	Sat Nov 21 16:16:50 +0000 2020	[]	243	63	https://twitter.com/i/web/status/1330183397654859777	1.924066823178349
18	covid	@e5234cc7-c89e-5c62-8d45-c01a1ecc3fcb @0c4b64e6-eee0-5dda-aec5-b5fa87398d85 @02e6fb19-6e6e-5b3a-977b-14c8000d52d1 What a pathetic headline. Covid covid covid. that's their platform.	81936d1e-2445-5001-b86a-0bfd65d96f38	Sat Nov 21 14:53:38 +0000 2020	[]	0	0	https://twitter.com/i/web/status/1330162462633713664	1.90897587
19	covid	"RT @ed841d8f-6948-5509-9866-982d0c29ab57: Don't you like people who don't moan and get Covid?
Thought after Nov. 3rd we won't be talking about Covid Covid Covid."	f4a98d22-02b8-5c2c-9ff1-43864d405c40	Sat Nov 21 14:39:40 +0000 2020	[]	149366	13780	https://twitter.com/i/web/status/1330158947614007300	1.8588251479680877
0	vaccine	RT @82fb6f2b-dfed-598d-87a4-0bed65229dd7: @a8b64e78-3951-5a99-8618-2f458b10c700 @e63715ca-b4ec-5636-ace6-a24a29d8d3d1 Will you take the vaccine?? #coronavirus #vaccination #vaccinate #Vaccin https://t.co/pLGqDHco…	a8b64e78-3951-5a99-8618-2f458b10c700	Sat Nov 21 16:09:32 +0000 2020	['coronavirus', 'vaccination', 'vaccinate', 'Vaccin']	0	0	https://twitter.com/i/web/status/1330181559614369793	10.818407185701211
1	vaccine	RT @8fc70e26-b477-5698-85ff-20cea4ea87b1: This vaccine is dangerous. I have never been anti vaccine but this has far more reaching consequences than any vaccine in my l…	79e7b839-38a5-5ac8-9a9c-846ed1c9d9b7	Sat Nov 21 16:11:58 +0000 2020	[]	55	9	https://twitter.com/i/web/status/1330182174713270273	9.230207548781598
